drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,predicted_class,predicted_prob,true_class
Atezo,BLCA,KIRC,full_graph,edge,0.1,145,178,1,0.541284588307387,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,146,178,1,0.6216813234133748,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,147,178,0,0.03477826368867561,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,148,178,0,0.00029513202761024865,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,149,178,1,0.9928919985313169,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,150,178,0,0.08392917444866406,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,151,178,0,0.0755919678076308,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,152,178,1,0.9999974267387569,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,153,178,1,0.5166388730511192,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,154,178,0,0.321892884280451,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,155,178,0,0.4648565331880913,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,156,178,0,0.2615784396406942,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,157,178,0,0.33894830378377605,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,158,178,1,0.8293658019676533,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,159,178,0,0.3186615761484058,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,160,178,0,0.08516220847235512,1
Atezo,BLCA,KIRC,full_graph,edge,0.1,161,178,0,0.021348917560340512,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,162,178,1,0.7655052505392507,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,163,178,0,0.0003673774448681882,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,164,178,0,0.0002655966389354027,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,165,178,0,0.005958006906400984,0
Atezo,BLCA,KIRC,full_graph,edge,0.1,166,178,0,0.09075939293813705,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,0,178,0,0.20803165483556235,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,1,178,1,0.5361507389503554,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,2,178,0,0.04692190715342943,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,3,178,0,0.036140386880329244,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,4,178,1,0.6923009221218127,1
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,5,178,0,0.005509695711188595,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,6,178,0,0.030522620262849867,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,7,178,0,0.00013962444959317492,0
Atezo,BLCA,KIRC,full_graph,edge-matched-random,0.1,8,178,1,0.8428908106486158,1
