,Patient,Gene1,Gene2,Edge,Curvature,Response
342,A549_LUNG,IKBKB,NFKBIE,IKBKB;NFKBIE,-0.66,0
343,A549_LUNG,IKBKB,TSC1,IKBKB;TSC1,-0.06,0
344,A549_LUNG,IKBKB,FOXO3,IKBKB;FOXO3,-0.35,0
345,A549_LUNG,IKBKB,CASP8,IKBKB;CASP8,-0.17,0
346,A549_LUNG,IKBKB,NFKB2,IKBKB;NFKB2,-0.22,0
347,A549_LUNG,IKBKB,HSP90AB1,IKBKB;HSP90AB1,-0.44,0
348,A549_LUNG,IKBKB,PTEN,IKBKB;PTEN,-0.31,0
349,A549_LUNG,IKBKB,SRC,IKBKB;SRC,-0.53,0
350,A549_LUNG,IKBKB,AKT2,IKBKB;AKT2,-0.02,0
351,A549_LUNG,IKBKB,CYLD,IKBKB;CYLD,-0.1,0
352,A549_LUNG,IKBKB,BCL10,IKBKB;BCL10,0.05,0
353,A549_LUNG,IKBKB,AKT1,IKBKB;AKT1,-0.3,0
354,A549_LUNG,IKBKB,MYD88,IKBKB;MYD88,-0.2,0
355,A549_LUNG,IKBKB,MALT1,IKBKB;MALT1,0.0,0
