,Edge,U,pval,adj_pvals
225,SMARCB1;SS18,2107.5,0.7637698093550342,1.0
226,SMARCB1;SMARCD1,2130.5,0.6814558886181679,1.0
227,SMARCB1;SMARCA4,2060.0,0.9412041027828569,1.0
228,SMARCB1;MYC,2184.5,0.5056448940847195,1.0
229,SMARCB1;ARID1B,2127.5,0.6922857586059481,1.0
230,ASXL2;EZH2,2155.0,0.5994196435347846,1.0
231,ASXL2;BAP1,2170.0,0.5505301249194439,1.0
232,DICER1;DGCR8,2108.0,0.7627614412989594,1.0
233,DICER1;DROSHA,1994.5,0.8158448816862302,1.0
234,DICER1;DDX6,2024.0,0.9261638395950641,1.0
235,ETV6;CHIC2,2044.0,1.0,1.0
236,ETV6;RUNX1,2224.5,0.39230642121707393,1.0
237,ETV6;ABL1,2242.5,0.34667814188727697,1.0
238,ETV6;ABL2,2508.5,0.027311618953645613,1.0
239,DAXX;MDM2,2032.5,0.9583055761323198,1.0
240,DAXX;ATRX,2091.0,0.8250806172130501,1.0
241,DAXX;SMAD4,2083.5,0.8529551770265658,1.0
242,DAXX;TP53,2140.5,0.6482034484787799,1.0
243,DAXX;DEK,2204.0,0.448439663775148,1.0
244,DAXX;MEN1,2092.5,0.819552597647011,1.0
245,DAXX;PML,2121.0,0.7161457016112416,1.0
246,DAXX;TGFBR2,2132.5,0.6757642895293674,1.0
247,ATRX;TP53,1854.5,0.36882422895532985,1.0
248,ATRX;ATM,2023.0,0.9223460708832898,1.0
249,ATRX;EZH2,2011.0,0.8771817787162101,1.0
250,ATRX;MEN1,1779.0,0.20844230988798929,1.0
251,ATRX;IDH1,1869.5,0.4082041521880364,1.0
252,ATRX;BRCA1,2018.5,0.9053625984138065,1.0
253,EPAS1;VHL,2114.5,0.73892925842668,1.0
254,EPAS1;EP300,2165.0,0.5666531759248989,1.0
255,EPAS1;HIF1A,2056.5,0.9544774493876035,1.0
256,EPAS1;MYC,2001.0,0.8398203588579385,1.0
257,EPAS1;ARNT,2042.0,0.9943000165469864,1.0
258,FBXW7;PIK3CA,2090.5,0.8269227162212945,1.0
259,FBXW7;TP53,2011.0,0.8772400562879006,1.0
260,FBXW7;MTOR,1996.5,0.8232518220796712,1.0
261,FBXW7;JUN,2039.5,0.9848327160647287,1.0
262,FBXW7;PTEN,1978.0,0.7555250532081952,1.0
263,FBXW7;CTNNB1,2067.5,0.9129506670870458,1.0
264,FBXW7;NOTCH1,2102.0,0.784622426713524,1.0
265,FBXW7;MYC,2109.0,0.7591747098905308,1.0
266,EP300;DDX5,1597.5,0.033929678225869696,1.0
267,EP300;CCND1,1668.5,0.07436639108718061,1.0
268,EP300;VHL,1709.5,0.11220547728768739,1.0
269,EP300;MDM2,1721.5,0.12558364416762696,1.0
270,EP300;SMAD2,1860.5,0.38384433739672674,1.0
271,EP300;KMT2C,1881.0,0.4394059798937733,1.0
272,EP300;BRD4,1663.0,0.07032870874247937,1.0
273,EP300;TCEA1,1742.5,0.1523448442467021,1.0
274,EP300;SRC,1637.5,0.05353236115981993,1.0
275,EP300;RUNX1,1825.5,0.29972843141777206,1.0
276,EP300;STAT3,1753.0,0.16684637870008545,1.0
277,EP300;NFE2L2,1762.0,0.18033557825403224,1.0
278,EP300;TP53,1816.5,0.28010603354511476,1.0
279,EP300;EZH2,1851.5,0.3612148980965464,1.0
280,EP300;JUN,1860.0,0.3828962219263943,1.0
281,EP300;SMAD4,1787.0,0.22219545512416994,1.0
282,EP300;HIF1A,1694.0,0.09580148455969721,1.0
283,EP300;FOXO4,1646.0,0.05869041889211471,1.0
284,EP300;CREB1,1571.5,0.024779079910235546,1.0
285,EP300;SMAD3,1820.5,0.2881062784759538,1.0
286,EP300;NCOA1,1840.5,0.3343806845372491,1.0
287,EP300;ATM,1875.0,0.4229171740688633,1.0
288,EP300;CHD4,1661.5,0.06907202004830049,1.0
289,EP300;TCF7L2,1698.0,0.10023243094360057,1.0
290,EP300;CREB3L2,1515.0,0.011992850600109057,1.0
291,EP300;MYC,1782.0,0.21244893970135625,1.0
292,EP300;LEF1,1845.5,0.3460252389965386,1.0
293,EP300;SMARCA4,1708.0,0.11056803843457226,1.0
294,EP300;ARID1A,1690.0,0.09278725313854846,1.0
295,EP300;BRCA1,1755.5,0.17072439054824595,1.0
296,EP300;MITF,1650.0,0.06141448163418226,1.0
297,EP300;ARNT,1712.5,0.115200497646399,1.0
298,EP300;PRKACA,1732.0,0.13852346882988217,1.0
299,EP300;NCOR1,1927.5,0.5812412005951304,1.0
300,EP300;CTNNB1,1816.0,0.27941227438490024,1.0
301,EP300;STAT6,1662.0,0.06969560968085678,1.0
302,EP300;NOTCH1,1748.5,0.160550420495862,1.0
303,EP300;KAT6A,1585.0,0.029189577188742894,1.0
304,EP300;TCF12,1748.0,0.15954890756978124,1.0
305,EP300;NCOR2,1954.5,0.6721964349589971,1.0
306,EP300;FOXO3,1772.0,0.19637978138048906,1.0
307,EP300;STAT5B,1658.5,0.06710298694066089,1.0
308,EP300;NCOA2,1867.5,0.40249375786385044,1.0
309,EP300;CTCF,1757.0,0.17307533886417426,1.0
310,EP300;PML,1790.5,0.2288359970587165,1.0
311,EP300;KMT2D,1777.5,0.20567486229673804,1.0
312,EP300;AKT1,1693.5,0.09582824451000899,1.0
313,CRNKL1;PRCC,2070.5,0.9016341965729014,1.0
314,CRNKL1;SF3B1,1959.5,0.6897358314772901,1.0
