,Edge,U,pval,adj_pvals
371,CCR6;CXCL9,263.5,1.0,1.0
372,CCR6;CCL20,263.5,1.0,1.0
373,CCR6;CCL4,263.5,1.0,1.0
374,CXCL9;CCL2,263.5,1.0,1.0
375,CXCL9;CCL13,263.5,1.0,1.0
376,CXCL9;CXCL13,263.5,1.0,1.0
377,CXCL9;CXCR5,263.5,1.0,1.0
378,CXCL9;PPBP,263.5,1.0,1.0
379,CXCL9;CXCL11,263.5,1.0,1.0
380,CXCL9;CCRL2,263.5,1.0,1.0
381,CXCL9;CXCR6,263.5,1.0,1.0
382,CXCL9;XCL1,263.5,1.0,1.0
383,CXCL9;CCL4,263.5,1.0,1.0
384,CXCL9;CXCL2,263.5,1.0,1.0
385,CXCL9;CXCL12,263.5,1.0,1.0
386,ITGA2;COL1A1,257.5,0.9038386034349907,1.0
387,ITGA2;COL1A2,237.5,0.5722409432532176,1.0
388,ITGA2;COL3A1,216.0,0.28988467752486335,1.0
389,COL1A2;COL1A1,287.5,0.5807252175787222,1.0
390,COL1A2;SPARC,278.0,0.7627441451917898,1.0
391,COL1A2;COL6A3,213.5,0.26170279746083613,1.0
392,COL1A2;COL5A1,257.0,0.8925235946371979,1.0
393,COL1A2;COL5A2,234.0,0.503972183920468,1.0
394,COL1A2;CRTAP,294.5,0.5108564113916592,1.0
395,COL1A2;COL11A1,268.0,0.925869845017215,1.0
396,COL1A2;COL3A1,234.5,0.5029586306736538,1.0
397,COL3A1;COL1A1,251.0,0.7695452709990419,1.0
398,COL3A1;COL6A3,241.0,0.5963354271169632,1.0
399,COL3A1;COL5A1,213.0,0.2399302741710282,1.0
400,COL3A1;COL5A2,252.0,0.7999009987653728,1.0
401,COL3A1;COL11A1,242.5,0.6216146313464498,1.0
402,CXCL1;CCL2,263.5,1.0,1.0
403,CXCL1;CXCL6,263.5,1.0,1.0
404,CXCL1;CCL20,263.5,1.0,1.0
405,CXCL1;CXCL2,263.5,1.0,1.0
406,CCL2;CCRL2,263.5,1.0,1.0
407,CCL2;CCL20,263.5,1.0,1.0
408,CCL2;CCL8,263.5,1.0,1.0
409,CCL2;CXCL13,263.5,1.0,1.0
410,CCRL2;CCL20,263.5,1.0,1.0
411,CCL20;CXCL11,263.5,1.0,1.0
