,Edge,U,pval,adj_pvals
202,TP53;DDB2,121.0,0.7270195148728134,1.0
203,TP53;CDK4,129.5,0.9463322457199678,1.0
204,TP53;MDM2,117.0,0.6236290038454761,1.0
205,TP53;BARD1,159.5,0.3675666126404815,1.0
206,TP53;KMT2C,122.0,0.7532842659591833,1.0
207,TP53;AXIN1,134.0,0.9599920145173466,1.0
208,TP53;CREBBP,118.0,0.6511942894045236,1.0
209,TP53;CDKN2C,123.5,0.7875265809641716,1.0
210,TP53;EP300,169.0,0.21922904101595653,1.0
211,TP53;BRD4,167.0,0.25225773720972944,1.0
212,TP53;PIK3CA,136.0,0.9082851939025479,1.0
213,TP53;YWHAE,124.5,0.8148115812614257,1.0
214,TP53;STAT3,181.5,0.10264730710665894,1.0
215,TP53;KAT6A,126.5,0.8673687231529115,1.0
216,TP53;PMS2,140.0,0.8021030231844701,1.0
217,TP53;RB1,142.5,0.7368129047316634,1.0
218,TP53;PML,114.0,0.5596721191537342,1.0
219,TP53;NCOR1,119.5,0.6899724730442005,1.0
220,TP53;ERCC3,134.0,0.9601422956021841,1.0
221,TP53;FBXW7,153.5,0.4748444282161953,1.0
222,TP53;EZH2,118.0,0.6519269536740313,1.0
223,TP53;HSP90AB1,162.5,0.31848015012923037,1.0
224,TP53;SMAD4,131.5,1.0,1.0
225,TP53;JUN,125.5,0.8420522746912854,1.0
226,TP53;PPP2R1A,104.5,0.35920802864808,1.0
227,TP53;AKT3,126.5,0.8673982102294546,1.0
228,TP53;SRC,135.0,0.9344070930747952,1.0
229,TP53;HIF1A,116.0,0.6039646905450122,1.0
230,TP53;BRCA2,132.5,1.0,1.0
231,TP53;NF1,138.5,0.8434518192691834,1.0
232,TP53;CASP8,101.5,0.3098658125155743,1.0
233,TP53;SMAD3,147.0,0.6236769924257408,1.0
234,TP53;CREB1,113.0,0.5370389561484404,1.0
235,TP53;HSP90AA1,159.5,0.3691710288082971,1.0
236,TP53;FOXO4,121.0,0.7285684055510082,1.0
237,TP53;NDRG1,111.0,0.48442526645470907,1.0
238,TP53;PPM1D,142.0,0.7509053959697665,1.0
239,TP53;RPL5,124.5,0.8174259542715221,1.0
240,TP53;CASP3,109.0,0.45458665870493975,1.0
241,TP53;ATM,105.5,0.38493577654041,1.0
242,TP53;HRAS,131.0,0.9868660545614907,1.0
243,TP53;MYC,139.0,0.8304798328465807,1.0
244,TP53;MDM4,121.0,0.7246456797639009,1.0
245,TP53;CHEK2,134.0,0.9601494096684712,1.0
246,TP53;SMARCA4,145.5,0.6650001507323275,1.0
247,TP53;KLF6,111.0,0.48442526645470907,1.0
248,TP53;IKBKB,134.0,0.9602450782415269,1.0
249,TP53;SMARCD1,105.5,0.3898547480404657,1.0
250,TP53;BRCA1,118.0,0.6545126068036675,1.0
251,TP53;BLM,131.0,0.98681070997243,1.0
252,TP53;CDKN1A,135.5,0.9198758221052796,1.0
253,TP53;ARID1A,133.0,0.9868712074701665,1.0
254,TP53;ATRX,124.0,0.8028649744163027,1.0
255,TP53;STK11,131.5,1.0,1.0
256,TP53;NPM1,145.5,0.6659930121597492,1.0
257,TP53;ERBB2,131.5,1.0,1.0
258,TP53;XPO1,134.5,0.9472649589427655,1.0
259,TP53;BAX,121.0,0.7264112762670365,1.0
260,TP53;ABL1,116.5,0.6136802483821928,1.0
261,TP53;CTNNB1,133.5,0.9737276469290265,1.0
262,TP53;ATR,106.5,0.40510130008094547,1.0
263,TP53;PIK3R1,141.5,0.7670224563585707,1.0
264,TP53;TRIM24,135.0,0.9339688764972384,1.0
265,TP53;PTEN,131.0,0.9868643355764877,1.0
266,TP53;BCL6,135.0,0.9336491658492408,1.0
267,TP53;SMARCB1,126.0,0.8549602980859297,1.0
268,TP53;TOP1,111.0,0.48442526645470907,1.0
269,TP53;WRN,137.0,0.8809345508984179,1.0
270,TP53;NRAS,131.0,0.9868677728718107,1.0
271,TP53;PRDM1,97.0,0.24808582998787765,1.0
272,TP53;AKT2,149.0,0.5796316292327377,1.0
273,TP53;FOXO3,134.5,0.9467904548562375,1.0
274,TP53;FANCC,125.0,0.8253272025828723,1.0
275,TP53;FAS,138.5,0.8421697641666329,1.0
276,TP53;BRAF,133.5,0.9737356676976276,1.0
277,TP53;MTOR,136.5,0.8942310911756897,1.0
278,TP53;AKT1,136.5,0.8951447394020017,1.0
279,TP53;DROSHA,119.0,0.677861066138775,1.0
280,FANCA;BRIP1,118.5,0.6641117194276098,1.0
281,FANCA;PALB2,108.0,0.4322801384947542,1.0
282,FANCA;FANCD2,104.0,0.34308629325042206,1.0
283,FANCA;FANCC,127.0,0.874183206832055,1.0
284,FANCA;ERCC4,107.5,0.42062303456305505,1.0
285,FANCA;FANCF,120.0,0.6872541833538766,1.0
286,FANCA;ATR,117.5,0.6394198842125074,1.0
287,FANCA;SMARCA4,115.5,0.5967447122377425,1.0
288,FANCA;BLM,125.0,0.827717061958413,1.0
289,FANCA;FANCG,109.0,0.40635448973770594,1.0
290,FANCA;BRCA2,120.0,0.7020324971918486,1.0
291,FANCA;BRCA1,114.0,0.559759870858819,1.0
292,BRD3;BRD4,142.0,0.7539127762868566,1.0
293,BRD3;NSD2,159.0,0.37126534637159414,1.0
294,BRD3;NSD3,167.0,0.24622367654336486,1.0
295,BRD3;SPOP,151.5,0.5302650957626746,1.0
296,COL1A1;ITGAV,173.5,0.17215465565023558,1.0
297,COL1A1;COL3A1,132.0,1.0,1.0
298,COL1A1;DDR2,132.0,1.0,1.0
299,TFE3;PRCC,117.5,0.6396159791621236,1.0
300,TFE3;MITF,109.0,0.45818105959429767,1.0
301,TFE3;SFPQ,103.0,0.3478290051543895,1.0
302,RANBP2;KIF5B,107.0,0.41047860392178015,1.0
303,RANBP2;TPR,105.0,0.37420375044680654,1.0
304,RANBP2;NUP214,139.0,0.8228017720432176,1.0
305,RANBP2;XPO1,157.5,0.3922327662014018,1.0
306,RANBP2;NUP98,160.5,0.3303018233638275,1.0
307,BLM;MLH1,140.0,0.8046817918204311,1.0
