,Patient,Gene1,Gene2,Edge,Curvature,Response
244,A2058_SKIN,AKT1,PIK3CB,AKT1;PIK3CB,0.4357631314842091,1
245,A2058_SKIN,NRAS,PIK3CA,NRAS;PIK3CA,-3.776012243124698,1
246,A2058_SKIN,NRAS,PIK3R1,NRAS;PIK3R1,-3.1945995623055357,1
247,A2058_SKIN,NRAS,SOS1,NRAS;SOS1,-3.9614386490821296,1
248,A2058_SKIN,NRAS,PIK3CG,NRAS;PIK3CG,-4.356662214772466,1
249,A2058_SKIN,NRAS,PIK3CD,NRAS;PIK3CD,-3.3696738256403664,1
250,A2058_SKIN,KRAS,PIK3R3,KRAS;PIK3R3,0.0,1
251,A2058_SKIN,KRAS,PIK3CG,KRAS;PIK3CG,-4.069275111256414,1
252,A2058_SKIN,KRAS,PIK3CD,KRAS;PIK3CD,-2.962001594256919,1
253,A2058_SKIN,KRAS,HRAS,KRAS;HRAS,0.22784961138253135,1
254,A2058_SKIN,KRAS,PIK3R1,KRAS;PIK3R1,-2.702841806974412,1
255,A2058_SKIN,KRAS,SOS1,KRAS;SOS1,0.0,1
256,A2058_SKIN,KRAS,PIK3CA,KRAS;PIK3CA,-3.3338777803001616,1
257,A2058_SKIN,KRAS,PIK3CB,KRAS;PIK3CB,-2.4466195079979407,1
258,A2058_SKIN,HRAS,PIK3CA,HRAS;PIK3CA,-2.7174679884875266,1
259,A2058_SKIN,HRAS,PIK3CD,HRAS;PIK3CD,-2.4796350758490533,1
260,A2058_SKIN,HRAS,SOS1,HRAS;SOS1,-2.673489150969847,1
261,A2058_SKIN,HRAS,PIK3CB,HRAS;PIK3CB,-2.1048316754076657,1
262,A2058_SKIN,HRAS,PIK3CG,HRAS;PIK3CG,-3.323731941214258,1
263,A2058_SKIN,HRAS,PIK3R1,HRAS;PIK3R1,-2.2646183553689663,1
264,A2058_SKIN,SOS1,RRAS,SOS1;RRAS,0.5472513367415222,1
265,A2058_SKIN,SOS1,SHC3,SOS1;SHC3,0.0,1
266,A2058_SKIN,RRAS,PIK3CA,RRAS;PIK3CA,0.3993086891018033,1
267,A2058_SKIN,RRAS,PIK3CG,RRAS;PIK3CG,0.30102212342579737,1
268,A2058_SKIN,RRAS,PIK3CD,RRAS;PIK3CD,0.3946480940506706,1
269,A2058_SKIN,AKT3,PIK3R2,AKT3;PIK3R2,0.45598563031959716,1
270,A2058_SKIN,AKT3,PIK3R3,AKT3;PIK3R3,0.4185935435727658,1
271,A2058_SKIN,AKT3,PIK3CA,AKT3;PIK3CA,0.23313838670899822,1
272,A2058_SKIN,AKT3,PIK3CD,AKT3;PIK3CD,0.22078944050408278,1
273,A2058_SKIN,AKT3,AKT2,AKT3;AKT2,0.5345564475147566,1
274,A2058_SKIN,AKT3,PIK3CG,AKT3;PIK3CG,0.03499646200114481,1
275,A2058_SKIN,AKT3,PIK3R1,AKT3;PIK3R1,0.28520378783927924,1
276,A2058_SKIN,AKT3,PIK3CB,AKT3;PIK3CB,0.30217315146896195,1
277,A2058_SKIN,AKT2,PIK3R2,AKT2;PIK3R2,0.45543973073845034,1
278,A2058_SKIN,AKT2,PIK3R3,AKT2;PIK3R3,0.427792748047643,1
279,A2058_SKIN,AKT2,PIK3CA,AKT2;PIK3CA,0.34276279675675025,1
280,A2058_SKIN,AKT2,PDPK1,AKT2;PDPK1,0.5373884898400073,1
281,A2058_SKIN,AKT2,PIK3CD,AKT2;PIK3CD,0.281201811290823,1
282,A2058_SKIN,AKT2,PIK3R1,AKT2;PIK3R1,0.3788457181358915,1
283,A2058_SKIN,AKT2,PIK3CB,AKT2;PIK3CB,0.4005307894189214,1
284,A2058_SKIN,AKT2,PIK3CG,AKT2;PIK3CG,0.19235764679098055,1
285,A2058_SKIN,PIK3R2,PIK3R3,PIK3R2;PIK3R3,0.0,1
286,A2058_SKIN,PIK3R2,PIK3R1,PIK3R2;PIK3R1,0.0,1
287,A2058_SKIN,PIK3R2,PIK3R5,PIK3R2;PIK3R5,0.0,1
288,A2058_SKIN,PIK3R2,PIK3CB,PIK3R2;PIK3CB,0.0,1
289,A2058_SKIN,PIK3R2,PIK3CD,PIK3R2;PIK3CD,0.0,1
290,A2058_SKIN,PIK3R2,PIK3CA,PIK3R2;PIK3CA,0.0,1
291,A2058_SKIN,PIK3R2,PIK3CG,PIK3R2;PIK3CG,0.0,1
292,A2058_SKIN,PIK3R2,ERBB3,PIK3R2;ERBB3,-0.6515082437493567,1
293,A2058_SKIN,PIK3R3,PIK3R5,PIK3R3;PIK3R5,0.0,1
294,A2058_SKIN,PIK3R3,PIK3CA,PIK3R3;PIK3CA,0.0,1
295,A2058_SKIN,PIK3R3,PIK3CG,PIK3R3;PIK3CG,0.0,1
296,A2058_SKIN,PIK3R3,PIK3CD,PIK3R3;PIK3CD,0.0,1
297,A2058_SKIN,PIK3R3,ERBB3,PIK3R3;ERBB3,0.0,1
298,A2058_SKIN,PIK3R3,PIK3CB,PIK3R3;PIK3CB,0.0,1
299,A2058_SKIN,PIK3R3,PIK3R6,PIK3R3;PIK3R6,0.0,1
300,A2058_SKIN,PIK3R3,PIK3R1,PIK3R3;PIK3R1,0.0,1
301,A2058_SKIN,PIK3R1,PIK3CA,PIK3R1;PIK3CA,0.0,1
302,A2058_SKIN,PIK3R1,ERBB3,PIK3R1;ERBB3,-0.9331282306217572,1
303,A2058_SKIN,PIK3R1,PDPK1,PIK3R1;PDPK1,0.31862181439049353,1
304,A2058_SKIN,PIK3R1,PIK3CD,PIK3R1;PIK3CD,0.0,1
305,A2058_SKIN,PIK3R1,PIK3R5,PIK3R1;PIK3R5,0.0,1
306,A2058_SKIN,PIK3R1,PIK3CG,PIK3R1;PIK3CG,0.0,1
307,A2058_SKIN,PIK3R1,PIK3CB,PIK3R1;PIK3CB,0.0,1
308,A2058_SKIN,PIK3R5,PIK3CA,PIK3R5;PIK3CA,0.0,1
309,A2058_SKIN,PIK3R5,PIK3CD,PIK3R5;PIK3CD,0.0,1
310,A2058_SKIN,PIK3R5,PIK3R6,PIK3R5;PIK3R6,0.0,1
311,A2058_SKIN,PIK3R5,PIK3CB,PIK3R5;PIK3CB,0.0,1
312,A2058_SKIN,PIK3R5,PIK3CG,PIK3R5;PIK3CG,0.0,1
313,A2058_SKIN,PIK3CB,PIK3CA,PIK3CB;PIK3CA,0.0,1
314,A2058_SKIN,PIK3CB,ERBB3,PIK3CB;ERBB3,-0.9321830922103562,1
315,A2058_SKIN,PIK3CB,PDPK1,PIK3CB;PDPK1,0.33237183017026084,1
