,Edge,U,pval,adj_pvals
374,PBRM1;EZH2,81.5,0.5882433618313055,1.0
375,PBRM1;ARID1A,77.5,0.7523845859526344,1.0
376,PBRM1;SMARCE1,87.0,0.3710819929191743,0.9537899386221503
377,PBRM1;ARID2,73.0,0.9739583238640129,1.0
378,PBRM1;SMARCB1,84.0,0.4830358423903923,0.9904710206177333
379,PBRM1;SMAD4,68.5,0.8622718869519036,1.0
380,PBRM1;SMARCA4,84.0,0.4830358423903923,0.9904710206177333
381,PBRM1;PTEN,64.5,0.6814270381616767,1.0
382,PBRM1;ATRX,86.0,0.41006256795252016,0.9719778990798471
383,PBRM1;KDM5C,77.5,0.7692567589395618,1.0
384,PBRM1;KDM6A,80.0,0.6478578936411319,1.0
385,PBRM1;SMARCD1,70.0,0.9272644735252321,1.0
386,PBRM1;SS18,75.5,0.8587192739226003,1.0
387,PBRM1;BAP1,81.5,0.596036183983822,1.0
388,PBRM1;SETD2,80.0,0.6451979761907405,1.0
389,PBRM1;CHD4,68.5,0.8593353499591636,1.0
390,PBRM1;ARID1B,77.0,0.780889843632445,1.0
391,PBRM1;NSD1,81.5,0.5951150140597192,1.0
392,PBRM1;BRAF,68.5,0.8593353499591636,1.0
393,SET;TP53,55.5,0.28106226867467843,0.9031627559952284
394,SET;NPM1,50.5,0.18524760142270946,0.8214666083901092
395,SET;NUP214,51.0,0.1545590776405961,0.7934762879584559
396,SET;DEK,76.0,0.8190226897021046,1.0
397,SET;SETBP1,67.5,0.7990348562548013,1.0
398,SET;CDKN1A,74.5,0.8971510331361419,1.0
399,SET;KMT2A,60.0,0.4731924172291855,0.988698424344685
400,SET;XPO1,60.5,0.49325000658200924,0.9904710206177333
401,SET;SRSF3,58.5,0.422599634738989,0.9719778990798471
402,AFF3;MLLT1,68.5,0.8636197374050449,1.0
403,AFF3;ELL,59.5,0.49381580822030857,0.9904710206177333
404,AFF3;AFF4,62.5,0.602896375207058,1.0
405,AFF3;MLLT10,62.5,0.6087260902668321,1.0
406,AFF3;MLLT3,57.0,0.40862173999986007,0.9719778990798471
407,AFF3;AFF1,62.0,0.5875877611810733,1.0
408,AFF3;KMT2A,64.5,0.6902997899510885,1.0
409,MSI2;NUP98,67.5,0.8165667515951467,1.0
410,TFG;ATIC,85.5,0.43787233175669404,0.974567031959239
411,TFG;RANBP2,44.5,0.12219874843845188,0.7629870460560313
412,TFG;NPM1,73.5,0.9541425542454444,1.0
413,TFG;TPM3,72.5,1.0,1.0
414,TFG;BIRC6,67.0,0.7960464609460479,1.0
415,TFG;EML4,69.0,0.8834374392433875,1.0
416,TFG;PRKAR1A,78.5,0.728564732823958,1.0
417,TFG;TPM4,66.0,0.7392837426202334,1.0
418,TFG;MSN,68.5,0.862761704452007,1.0
419,TFG;PPFIBP1,71.5,1.0,1.0
420,TFG;TPR,81.5,0.5971788862774782,1.0
421,TFG;CLTC,77.5,0.7734460809040395,1.0
422,TFG;KIF5B,67.5,0.815761711536872,1.0
423,SIRPA;CSF1R,85.5,0.45711966818711425,0.9811879930671651
424,SIRPA;CALR,71.0,0.9773256260992277,1.0
425,SIRPA;SRC,79.5,0.6890939671603589,1.0
426,SIRPA;JAK2,76.0,0.8399546717916934,1.0
427,SIRPA;PTPN6,84.0,0.5114955419160178,0.9988093379798215
428,SIRPA;PTPRC,73.0,0.9772594155338583,1.0
429,SIRPA;PTPN11,86.0,0.4406245134614374,0.974567031959239
430,CXCR4;CD74,82.5,0.5705576595687653,1.0
431,CXCR4;GNA11,80.0,0.6621380153960319,1.0
432,CXCR4;CCND1,84.0,0.5059538144485699,0.9988093379798215
433,CXCR4;PDGFRB,86.5,0.424156770011177,0.9719778990798471
434,CXCR4;KDR,98.0,0.13944263037386195,0.7816099614596217
435,CXCR4;STAT3,82.5,0.5561830051375913,1.0
436,CXCR4;TP53,84.5,0.48903002153592545,0.9904710206177333
437,CXCR4;ERBB2,79.5,0.6822316577894596,1.0
438,CXCR4;EGFR,83.5,0.5288144071073422,1.0
439,CXCR4;CSF1R,72.0,1.0,1.0
440,CXCR4;GNAQ,87.5,0.3862861817069252,0.9672801572520022
441,CXCR4;CASP3,90.5,0.2984074649043498,0.9181588751233436
