,Edge,U,pval,adj_pvals
1185,ECT2/FANCI,7169.5,0.29668926806947493,0.4444920038976928
1186,ECT2/AURKB,8773.0,0.12619944011126383,0.2435649194147392
1187,ECT2/KIF15,8122.5,0.6262995547278265,0.7418206591319096
1188,ECT2/NCAPD2,7642.5,0.7758497515956325,0.8562270551581804
1189,ECT2/TACC3,8759.0,0.1319276075906422,0.25118413501642634
1190,ECT2/KNTC1,8282.5,0.45665057577276513,0.6014873236483176
1191,ECT2/CENPF,7558.0,0.6724368622287009,0.7793607652417531
1192,ECT2/KIF14,7954.0,0.8291917234591182,0.8925780986448053
1193,ECT2/MKI67,8018.0,0.7499632876332183,0.8369488254165269
1194,ECT2/TTK,7801.0,0.9761579401273917,0.986075800972282
1195,ECT2/CEP55,7635.5,0.7657245473221674,0.849625376991556
1196,ECT2/KIF20B,7135.0,0.2710929982020803,0.41764427913064195
1197,ECT2/STIL,7734.5,0.8915405808048,0.9338721480231306
1198,ECT2/KIF4A,7888.5,0.9120366721120039,0.94334305913026
1199,ECT2/CKAP2,7253.0,0.36196444105989256,0.5127829581681811
1200,ECT2/RFC4,7836.5,0.9795064005480167,0.9889271362986178
1201,ECT2/RACGAP1,7742.0,0.8996088518170705,0.9385108562199709
1202,ECT2/NUSAP1,7558.0,0.6729439341450432,0.7793607652417531
1203,ECT2/CDK1,8726.0,0.14608968991881918,0.26867728286078796
1204,ECT2/INCENP,7744.0,0.9032182375666289,0.9401837047766844
1205,ECT2/CCNA2,8732.0,0.14332534919979248,0.2650791830465159
1206,ECT2/PRC1,7610.5,0.7351537204448072,0.8252241529131075
1207,COL18A1/ITGAV,8516.0,0.26499926443746646,0.40993049817035715
1208,COL18A1/NID1,8907.5,0.0814423582821648,0.17873737627008876
1209,COL18A1/COL27A1,8803.0,0.1101578889027399,0.22065203509761272
1210,COL18A1/HSPG2,8014.0,0.756519194089816,0.8419740419975191
1211,ZGRF1/ATAD5,7184.0,0.3085491505267236,0.4584917404339584
1212,H2BC7/VRK1,7703.5,0.8523864602316291,0.9061806343154296
1213,H2BC7/H2BC5,7680.5,0.8230891097102256,0.8884518468825245
1214,H2BC7/H2AC20,8823.5,0.10752969296810258,0.2165776075066572
1215,H2BC7/H3C13,7786.0,0.9570977736884041,0.9737171458826833
1216,H2BC7/CENPL,6897.0,0.13930840230790506,0.26043924100982135
1217,H2BC7/CENPI,7042.5,0.2129809630338405,0.3531028497797022
1218,H2BC7/H2AC11,7772.0,0.9391504130687183,0.9605661191837875
1219,H2BC7/H4C14,7845.5,0.9679734577838461,0.9796178022790867
1220,H2BC7/H2BC21,7959.0,0.8238336460694404,0.8888517569068839
1221,H2BC7/H2AC17,7504.5,0.6125364101173638,0.7334788181003907
1222,H2BC7/H3C11,7116.0,0.25871977909201194,0.40398966735458886
1223,H2BC7/H2BC18,7029.5,0.20367015479684758,0.3442973349414483
1224,H2BC7/H2BC17,7588.5,0.7099470667776331,0.8090782654037562
1225,H2BC7/H2AC12,7528.0,0.6393958833982618,0.7511127437986742
1226,H2BC7/CENPK,7156.5,0.2879156615730103,0.4353231730972566
1227,H2BC7/H2AC13,7515.0,0.6243843079428218,0.7411739921709112
1228,AURKB/TRIP13,9402.5,0.01125664048559168,0.04846855306197677
1229,AURKB/CDC6,9506.5,0.006911870992964226,0.037360541561640245
1230,AURKB/CBX5,9478.0,0.007924210141520841,0.039572805897001344
1231,AURKB/VRK1,9353.0,0.014088367603166547,0.054573712049574306
1232,AURKB/MYBL2,9262.5,0.02087651909552348,0.06852625405696997
1233,AURKB/NCAPG,9569.0,0.005089534008370822,0.032769492941635205
1234,AURKB/TROAP,9359.0,0.013708838974284494,0.053802273534243335
1235,AURKB/KIF23,9572.0,0.005015742637123648,0.032652086492862484
1236,AURKB/KIF11,9529.5,0.006180412255808347,0.035570226311578516
1237,AURKB/NDC80,9529.5,0.006179787919048521,0.035570226311578516
1238,AURKB/MCM4,9473.0,0.008111173692103128,0.04016994300614871
1239,AURKB/KIF18A,9465.5,0.008400713213251478,0.04104796122757473
1240,AURKB/SGO1,9651.0,0.0033595281330510464,0.02643312183343042
1241,AURKB/UBE2S,9241.5,0.022820512204071587,0.0726933014966591
1242,AURKB/MCM2,9315.5,0.016616118844034522,0.059786135566960774
1243,AURKB/PLK4,9520.5,0.006459560499502066,0.03631255200106902
1244,AURKB/NUF2,9493.5,0.0073537966848407675,0.038041134955775296
1245,AURKB/SKP2,9428.0,0.010017095778156343,0.04539515365763945
1246,AURKB/SMC2,9489.0,0.0075162670245008025,0.038174724624438286
1247,AURKB/ATAD2,9324.0,0.01600853777837149,0.05868604743110263
1248,AURKB/BUB1B,9514.5,0.006648772153236782,0.03697393463520319
1249,AURKB/CCNB2,9554.5,0.005468503492460805,0.03385313199766774
1250,AURKB/PLK1,9557.5,0.005388213783390307,0.033716930039153145
1251,AURKB/TPX2,9484.5,0.007674050329211808,0.03861742197874837
1252,AURKB/CKAP2L,9339.0,0.014981308265257735,0.05662865485980487
