,drug,tissue,feature,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
182,Ipi+Pembro,SKCM,targets,13,2,0.5555555555555556,0.7083333333333333,0.5714285714285714,0.5,3,0,3,1
183,Ipi+Pembro,SKCM,DiffExp,13,31,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
184,Ipi+Pembro,SKCM,edge,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
185,Ipi+Pembro,SKCM,edge-random,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
186,Ipi+Pembro,SKCM,node,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
187,Ipi+Pembro,SKCM,node-random,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
188,Ipi+Pembro,SKCM,node-norm,13,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
189,Ipi+Pembro,SKCM,node-norm-random,13,68,1.0,1.0,1.0,1.0,3,0,0,4
190,Ipi+Pembro,SKCM,edge+targets,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
191,Ipi+Pembro,SKCM,edge+targets-random,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
192,Ipi+Pembro,SKCM,node+targets,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
193,Ipi+Pembro,SKCM,node+targets-random,13,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
194,Ipi+Pembro,SKCM,node-norm+targets,13,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
195,Ipi+Pembro,SKCM,node-norm+targets-random,13,68,1.0,1.0,0.8571428571428571,0.9166666666666667,3,0,1,3
196,Ipi+Pembro,SKCM,targets,14,2,0.6666666666666666,0.6666666666666667,0.5714285714285714,0.5833333333333334,2,1,2,2
197,Ipi+Pembro,SKCM,DiffExp,14,31,1.0,1.0,1.0,1.0,3,0,0,4
198,Ipi+Pembro,SKCM,edge,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
199,Ipi+Pembro,SKCM,edge-random,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
200,Ipi+Pembro,SKCM,node,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
201,Ipi+Pembro,SKCM,node-random,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
202,Ipi+Pembro,SKCM,node-norm,14,68,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
203,Ipi+Pembro,SKCM,node-norm-random,14,68,1.0,1.0,1.0,1.0,3,0,0,4
204,Ipi+Pembro,SKCM,edge+targets,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
205,Ipi+Pembro,SKCM,edge+targets-random,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
206,Ipi+Pembro,SKCM,node+targets,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
207,Ipi+Pembro,SKCM,node+targets-random,14,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
208,Ipi+Pembro,SKCM,node-norm+targets,14,68,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
209,Ipi+Pembro,SKCM,node-norm+targets-random,14,68,1.0,1.0,0.8571428571428571,1.0,2,1,0,4
210,Ipi+Pembro,SKCM,targets,15,2,0.5555555555555556,0.6111111111111112,1.0,1.0,3,0,0,4
211,Ipi+Pembro,SKCM,DiffExp,15,31,1.0,1.0,1.0,1.0,3,0,0,4
212,Ipi+Pembro,SKCM,edge,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
213,Ipi+Pembro,SKCM,edge-random,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
214,Ipi+Pembro,SKCM,node,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
215,Ipi+Pembro,SKCM,node-random,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
216,Ipi+Pembro,SKCM,node-norm,15,56,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
217,Ipi+Pembro,SKCM,node-norm-random,15,56,1.0,1.0,1.0,1.0,3,0,0,4
218,Ipi+Pembro,SKCM,edge+targets,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
219,Ipi+Pembro,SKCM,edge+targets-random,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
220,Ipi+Pembro,SKCM,node+targets,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
221,Ipi+Pembro,SKCM,node+targets-random,15,-1,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1
222,Ipi+Pembro,SKCM,node-norm+targets,15,56,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
223,Ipi+Pembro,SKCM,node-norm+targets-random,15,56,1.0,1.0,0.8571428571428571,1.0,3,0,1,3
224,Ipi+Pembro,SKCM,targets,16,2,0.7777777777777778,0.8472222222222223,0.42857142857142855,0.16666666666666669,2,1,3,1
