,Edge,U,pval,adj_pvals
392,CHEK2;PPP2R1A,2805.0,0.7636565612413707,1.0
393,CHEK2;FANCF,2662.0,0.42136118530250444,1.0
394,CHEK2;FOXO3,2800.5,0.7515887814741866,1.0
395,CHEK2;ATR,2882.5,0.9775548383357298,1.0
396,CHEK2;NF1,2744.0,0.6063689327603099,1.0
397,CHEK2;MDM4,2776.5,0.6884453842543161,1.0
398,CHEK2;PTEN,2781.5,0.7014391520635535,1.0
399,CHEK2;ATRX,2730.5,0.5735625012937033,1.0
400,CHEK2;BRCA2,2726.5,0.5638316111675632,1.0
401,CHEK2;BRCA1,2776.0,0.6871328877551106,1.0
402,CHEK2;CDKN1A,2731.5,0.5759655651269421,1.0
403,CHEK2;MYC,2772.5,0.6782033141901007,1.0
404,CHEK2;RAD17,2776.5,0.6881052932379961,1.0
405,CHEK2;UBR5,2892.5,0.9971949002176345,1.0
406,CHEK2;POLD1,2898.0,0.9817547930913443,1.0
407,CHEK2;NSD2,2678.0,0.454926475145052,1.0
408,CHEK2;MUTYH,2795.5,0.7381039442606571,1.0
409,CHEK2;RAD51B,2708.5,0.5215027033927735,1.0
410,CHEK2;PMS1,2692.0,0.48459176030625295,1.0
411,PALB2;MLH1,2965.5,0.7939155704649876,1.0
412,PALB2;MSH2,2800.0,0.7496574102771583,1.0
413,PALB2;MSH6,2966.5,0.7916642687650292,1.0
414,PALB2;BRIP1,2797.0,0.7413518157061108,1.0
415,PALB2;BARD1,2905.0,0.96191072563103,1.0
416,PALB2;PTEN,2981.5,0.75145122494834,1.0
417,PALB2;POLE,3019.0,0.6534473817324856,1.0
418,PALB2;WRN,3173.0,0.3206247783006091,1.0
419,PALB2;MEN1,2943.0,0.8562484277472058,1.0
420,PALB2;FANCC,3007.0,0.6836668364751168,1.0
421,PALB2;NBN,2942.5,0.8574079462903406,1.0
422,PALB2;ERCC5,2583.0,0.27820831946646585,1.0
423,PALB2;MUTYH,2852.5,0.8933484302984764,1.0
424,PALB2;PMS1,2715.5,0.5362939713325992,1.0
425,PALB2;STK11,2922.5,0.9131215549770575,1.0
426,PALB2;FANCF,2858.0,0.9089655460687396,1.0
427,PALB2;RAD51B,2840.5,0.8597661238053893,1.0
428,PALB2;ATM,2947.5,0.8435646164967863,1.0
429,PALB2;CUL3,2738.0,0.5917086986980225,1.0
430,PALB2;FANCG,2913.0,0.9396278804207873,1.0
431,PALB2;FANCD2,2923.5,0.9097376504757594,1.0
432,PALB2;BRCA1,2992.5,0.7222846338577787,1.0
433,PALB2;ATRX,2936.0,0.875515635621055,1.0
434,PALB2;ERCC3,2701.5,0.5054480853143939,1.0
435,PALB2;KEAP1,2887.0,0.9901779464025937,1.0
436,PALB2;ERCC4,2635.5,0.3677054206538882,1.0
437,PALB2;CDK12,3011.5,0.6727206864170109,1.0
438,PALB2;XPA,2565.0,0.25120729186457624,1.0
439,PALB2;TP53,2958.5,0.8136827170157488,1.0
440,PALB2;POLD1,3025.0,0.6380005891738525,1.0
441,PALB2;BRCA2,2929.0,0.8948778752350474,1.0
442,PALB2;NF1,2983.5,0.746109812225193,1.0
443,PALB2;PMS2,2757.0,0.6361035279874756,1.0
444,DDX6;PCBP1,2973.5,0.7726971222612723,1.0
445,DDX6;PABPC1,3162.5,0.33937784609859534,1.0
446,DDX6;EIF4A2,3213.5,0.2559833776881839,1.0
447,DDX6;CNOT3,2936.5,0.8738598807772732,1.0
448,DDX6;PIM1,2948.5,0.8409656606655199,1.0
