drug,source tissue,target tissue,type,feature,pval,iter,feature_dim,Train Accuracy,Train ROC_AUC,Test Accuracy,Test ROC_AUC,Test TN,Test FP,Test FN,Test TP
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,14,235,0.992,1.0,0.6904761904761905,0.7012345679012346,21,6,7,8
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,15,235,0.992,0.9986824769433464,0.6428571428571429,0.6754807692307692,19,7,8,8
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,16,235,0.984,1.0,0.6904761904761905,0.6604774535809018,24,5,8,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,17,235,0.968,0.9990925589836661,0.7619047619047619,0.7126099706744868,27,4,6,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,18,235,0.976,0.996975806451613,0.6904761904761905,0.6823529411764706,22,3,10,7
Atezo,BLCA,KIRC,strict,node-matched-random,0.1,19,235,0.992,1.0,0.6904761904761905,0.6684350132625995,23,6,7,6
Atezo,BLCA,KIRC,strict,node,0.05,0,151,0.976,0.9990786240786241,0.7619047619047619,0.8222222222222223,25,5,5,7
Atezo,BLCA,KIRC,strict,node,0.05,1,151,0.992,1.0,0.6428571428571429,0.6864197530864198,20,7,8,7
Atezo,BLCA,KIRC,strict,node,0.05,2,151,0.936,0.9876190476190476,0.5952380952380952,0.6224489795918366,20,8,9,5
Atezo,BLCA,KIRC,strict,node,0.05,3,151,0.992,1.0,0.6666666666666666,0.621875,22,10,4,6
Atezo,BLCA,KIRC,strict,node,0.05,4,151,0.992,0.9935294117647059,0.7380952380952381,0.734006734006734,26,7,4,5
Atezo,BLCA,KIRC,strict,node,0.05,5,151,0.984,0.9984643734643734,0.5714285714285714,0.6361111111111111,19,11,7,5
Atezo,BLCA,KIRC,strict,node,0.05,6,151,0.968,0.9964705882352941,0.7142857142857143,0.7575757575757576,26,7,5,4
Atezo,BLCA,KIRC,strict,node,0.05,7,151,1.0,1.0,0.5952380952380952,0.6301020408163266,18,10,7,7
Atezo,BLCA,KIRC,strict,node,0.05,8,151,0.984,0.9971428571428572,0.6904761904761905,0.7525510204081634,20,8,5,9
Atezo,BLCA,KIRC,strict,node,0.05,9,151,1.0,1.0,0.6190476190476191,0.6363636363636364,23,10,6,3
Atezo,BLCA,KIRC,strict,node,0.05,10,151,0.992,1.0,0.6666666666666666,0.7138888888888889,22,8,6,6
Atezo,BLCA,KIRC,strict,node,0.05,11,151,1.0,1.0,0.6666666666666666,0.46562499999999996,27,5,9,1
Atezo,BLCA,KIRC,strict,node,0.05,12,151,0.992,0.9996878901373283,0.6190476190476191,0.583554376657825,22,7,9,4
Atezo,BLCA,KIRC,strict,node,0.05,13,151,0.992,0.997096399535424,0.7142857142857143,0.6102941176470588,28,6,6,2
Atezo,BLCA,KIRC,strict,node,0.05,14,151,0.968,0.9953542392566782,0.7380952380952381,0.7132352941176471,27,7,4,4
Atezo,BLCA,KIRC,strict,node,0.05,15,151,1.0,1.0,0.5952380952380952,0.6275659824046921,23,8,9,2
Atezo,BLCA,KIRC,strict,node,0.05,16,151,0.984,0.999697519661222,0.6428571428571429,0.5249266862170088,23,8,7,4
Atezo,BLCA,KIRC,strict,node,0.05,17,151,0.96,0.9950062421972534,0.6428571428571429,0.5782493368700266,22,7,8,5
Atezo,BLCA,KIRC,strict,node,0.05,18,151,0.976,1.0,0.6428571428571429,0.6392961876832844,24,7,8,3
Atezo,BLCA,KIRC,strict,node,0.05,19,151,0.968,0.9946332737030412,0.5952380952380952,0.659375,20,12,5,5
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,0,151,0.984,1.0,0.5,0.37665782493368705,18,11,10,3
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,1,151,0.904,0.9815772462831287,0.5,0.4617283950617284,15,12,9,6
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,2,151,0.912,0.9787765293383272,0.6190476190476191,0.570291777188329,18,11,5,8
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,3,151,1.0,1.0,0.5476190476190477,0.5623342175066313,16,13,6,7
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,4,151,0.936,0.9904761904761905,0.5714285714285714,0.5510204081632653,20,8,10,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,5,151,0.968,0.9960677555958862,0.5714285714285714,0.5601173020527859,20,11,7,4
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,6,151,0.976,0.9993857493857494,0.4523809523809524,0.36944444444444446,16,14,9,3
Atezo,BLCA,KIRC,strict,node-matched-random,0.05,7,151,0.928,0.9800249687890137,0.5714285714285714,0.6127320954907163,16,13,5,8
