,Edge,U,pval,adj_pvals
356,SRC;CDH1,97.5,0.5057483101903322,1.0
357,SRC;PIK3R3,101.5,0.06601967502129268,1.0
358,SRC;EP300,111.0,0.8543059257057466,1.0
359,SRC;PIK3CA,116.0,1.0,1.0
360,SRC;CBL,167.0,0.05903628643065615,1.0
361,SRC;SHC2,151.5,0.058859203715908276,1.0
362,SRC;ERBB3,125.5,0.627105088281344,1.0
363,SRC;ERBB2,120.0,0.6458230910879958,1.0
364,SRC;EGFR,120.0,0.6458230910879958,1.0
365,SRC;NRAS,120.0,0.6458230910879958,1.0
366,SRC;TRAF6,102.0,0.46618016317043476,1.0
367,SRC;SHC1,132.0,0.2888240236274777,1.0
368,SRC;ESR1,128.0,0.37017873328529394,1.0
369,SRC;SHC3,82.5,0.1846567436284664,1.0
370,SRC;PIK3CG,116.0,1.0,1.0
371,SRC;AR,104.0,0.6265004481712243,1.0
372,SRC;MUC1,88.0,0.3068391785962006,1.0
373,SRC;IGF1R,120.0,0.6458230910879958,1.0
374,SRC;HRAS,120.0,0.6458230910879958,1.0
375,SRC;PIK3CB,105.0,0.32298221346472844,1.0
376,SRC;PTPN11,105.0,0.32298221346472844,1.0
377,SRC;AKT1,120.0,0.6458230910879958,1.0
378,SRC;MAPK9,149.0,0.23561772916611623,1.0
379,SRC;PIK3R1,116.0,1.0,1.0
380,SRC;MAPK8,137.0,0.44344749929785154,1.0
381,CBL;PIK3R2,163.0,0.0821430758692812,1.0
382,CBL;SHC1,172.0,0.03800080188951355,1.0
383,CBL;PTPN11,157.0,0.13129000045760514,1.0
384,CBL;EGFR,168.0,0.054190883878366916,1.0
385,CBL;TGFBR2,163.5,0.07990714905682073,1.0
386,CBL;PIK3R1,178.0,0.02149620912048629,1.0
387,CBL;SORBS1,130.5,0.6019199561494988,1.0
388,DCN;ACAN,126.0,0.37120436599384277,1.0
389,DCN;ERBB2,124.0,0.4802112074856302,1.0
390,DCN;EGFR,124.0,0.4802112074856302,1.0
391,DCN;TGFB1,124.0,0.4802112074856302,1.0
392,DCN;BGN,120.0,0.8107070310145574,1.0
393,DCN;TGFB3,113.0,0.8641597305385362,1.0
394,DCN;IGF1,108.0,0.4802112074856302,1.0
395,ACAN;FMOD,116.0,1.0,1.0
396,ERBB2;PIK3R2,116.0,1.0,1.0
397,ERBB2;KRAS,116.0,1.0,1.0
